"cues","BOI","Concrete","SUBTLEX","AoA","n"
"checkbook",5.666666667,4.97,2.0828,8.67,17
"checkerboard",5.391304348,4.96,0.7782,6.74,18
"checklist",4.464285714,4.61,1.6021,7.78,18
"cheddar",5.291666667,4.46,1.9638,7.14,14
"cheek",5.481481481,4.83,2.5635,5.06,14
"cheekbone",4.88,4.71,1.1761,7.17,14
"cheerleader",5.285714286,4.9,2.5185,6,17
"cheese",6.391304348,4.7,3.2993,4.33,24
"cheeseburger",NA,4.93,2.2148,4.78,16
"cheesecake",6.458333333,4.97,2.0755,8.11,26
"cheesecloth",5.52173913,4.8,0.4771,13.2,14
"chef",4.64,4.3,2.7832,8.3,10
"chemicals",5.04,4.14,2.4654,9.7,19
"cherry",5.454545455,4.62,2.8414,5.58,20
"chessboard",6.04,4.68,1.2553,8.37,20
"chest",5.851851852,4.93,3.3204,5.05,19
"chestnut",5.555555556,4.7,1.8195,6.55,14
"chevy",4.956521739,4.48,2.2455,NA,17
"chick",4.47826087,4.93,3.1255,5.53,18
"chicken",5.5,4.8,3.4982,3.26,15
"chickenfeed",4.72,4.78,0.6021,NA,20
"chihuahua",6.25,4.38,1.8633,NA,13
"child",5.695652174,4.78,3.9053,5.15,21
"childbirth",4.391304348,4.04,1.8976,9.25,19
"children",5.52,4.89,3.9509,4.1,14
"chili",5.291666667,4.79,2.5832,6.61,21
"chimney",4.730769231,5,2.3304,6.58,17
"chimpanzee",4.260869565,4.96,1.7993,7.26,15
"chin",5.884615385,4.89,2.8116,4.22,12
"chinaware",5.913043478,4.82,0.4771,10.05,24
"chinchilla",4.925925926,4.72,1.4472,12.67,17
"chip",5.181818182,4.71,3.022,5.89,13
"chiropractor",5.5,4.86,1.6628,12.67,16
"chisel",5.333333333,4.63,1.6628,10.53,13
"chocolate",6.307692308,4.72,3.1761,3.33,13
"chopstick",5.625,4.93,1.1461,8.5,16
"chopsticks",6.391304348,5,1.9731,7.85,17
"choreographer",4.826086957,4.23,1.7324,12.25,13
"chow",4.642857143,4.47,2.5453,7.89,14
"chowder",4.96,4.7,1.9191,8,15
"chronograph",4.684210526,4.19,0.4771,13.4,11
"chronometer",4.5,4.11,1.0792,14.23,12
"chrysanthemum",5.727272727,4.57,1.1139,8.47,14
"cider",4.958333333,4.97,1.9912,5.83,20
"cigar",5.962962963,4.93,2.8202,7.67,14
"cigarette",6.272727273,4.88,3.1329,6.39,20
"citrus",4.6,4.21,1.4314,6.63,21
"clam",4.375,4.89,2.3032,7.37,17
"clamp",5.36,4.53,2.5453,10.89,18
"clamshell",4.347826087,4.82,0.6021,8.11,14
"clarinet",5.923076923,4.92,1.9085,9.22,16
